User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
user2120002=ef8bb99a-2e1d-11ed-a2c4-cbd2202b2ca2,ASIA4YZW5TMGX2OGLAXK,2022-11-19T16:55:09Z,iam.amazonaws.com,AddUserToGroup,us-east-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",92976dc3-63dc-4259-8977-e67958eccfda,115cdb31-b5f4-4444-a52d-d04748117235,FALSE,AwsApiCall,8.78E+11,Management
user2120002=ef8bb99a-2e1d-11ed-a2c4-cbd2202b2ca2,ASIA4YZW5TMGX2OGLAXK,2022-11-19T16:55:09Z,iam.amazonaws.com,CreateUser,us-east-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA4YZW5TMGZ43LLJYFX""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::877899127565:user/CloudTrail""}]",824ac0f4-1837-4cdd-a29f-18ffebe26262,7cbd00b0-862a-43fa-bbd5-785d690a180c,FALSE,AwsApiCall,8.78E+11,Management
user2120002=ef8bb99a-2e1d-11ed-a2c4-cbd2202b2ca2,ASIA4YZW5TMGX2OGLAXK,2022-11-19T16:55:09Z,iam.amazonaws.com,CreateLoginProfile,us-east-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",7b847ac7-3032-4526-88e1-db2d0d8509af,d95d2214-a009-4aba-aeaf-9c07642129f3,FALSE,AwsApiCall,8.78E+11,Management
user2120002=ef8bb99a-2e1d-11ed-a2c4-cbd2202b2ca2,ASIA4YZW5TMG7QJ3YLFY,2022-11-19T16:52:33Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",a7388dcd-6cfd-43d6-8779-2b2543533235,19322802-325d-446e-a478-3cd63399670c,FALSE,AwsApiCall,8.78E+11,Management
user2120002=ef8bb99a-2e1d-11ed-a2c4-cbd2202b2ca2,ASIA4YZW5TMG7QJ3YLFY,2022-11-19T16:52:32Z,iam.amazonaws.com,CreateGroup,us-east-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPA4YZW5TMGQ5G5AV35S""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::877899127565:group/Reviewers""}]",33dce69e-d2aa-4100-863f-2141a6d14d42,8acea5d4-3f51-4447-8641-47407222f4a3,FALSE,AwsApiCall,8.78E+11,Management
user2120002=ef8bb99a-2e1d-11ed-a2c4-cbd2202b2ca2,ASIA4YZW5TMG7QJ3YLFY,2022-11-19T16:52:02Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrail_FullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",4b24113a-f65d-4bc2-830a-23aa0f0c9ae0,8a6541b8-5c33-430c-8466-7f2451ac4095,FALSE,AwsApiCall,8.78E+11,Management
user2120002=ef8bb99a-2e1d-11ed-a2c4-cbd2202b2ca2,ASIA4YZW5TMG7QJ3YLFY,2022-11-19T16:52:02Z,iam.amazonaws.com,CreateGroup,us-east-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::877899127565:group/CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPA4YZW5TMGT6HIG4SPA""}]",b7476ffd-3b05-493e-a81e-2f63e21bd561,c6cd938c-da40-4fec-b1d2-53570d0cd862,FALSE,AwsApiCall,8.78E+11,Management
user2120002=ef8bb99a-2e1d-11ed-a2c4-cbd2202b2ca2,ASIA4YZW5TMG7QJ3YLFY,2022-11-19T16:52:02Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrail_ReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",45718d50-2ccf-4e35-ae41-3f47f2d67d21,ced68ac0-617c-402a-ac12-f43e656f158f,FALSE,AwsApiCall,8.78E+11,Management
user2120002=ef8bb99a-2e1d-11ed-a2c4-cbd2202b2ca2,ASIA4YZW5TMGX2OGLAXK,2022-11-19T16:46:21Z,iam.amazonaws.com,UpdateAccountPasswordPolicy,us-east-1,AWS Internal,AWS Internal,,[],6dfa9067-84a3-41d2-8517-88697057aebc,3adb1ffc-5d41-4ae3-91b1-67ad8e330f94,FALSE,AwsApiCall,8.78E+11,Management
user2120002=ef8bb99a-2e1d-11ed-a2c4-cbd2202b2ca2,ASIA4YZW5TMGX2OGLAXK,2022-11-19T16:46:03Z,iam.amazonaws.com,UpdateAccountPasswordPolicy,us-east-1,AWS Internal,AWS Internal,,[],0d47a57a-f811-4351-b36c-bc0b92d92750,343bdeb5-0a68-4c8c-968c-875ee5b3a585,FALSE,AwsApiCall,8.78E+11,Management
user2120002=ef8bb99a-2e1d-11ed-a2c4-cbd2202b2ca2,,2022-11-19T16:28:18Z,signin.amazonaws.com,ConsoleLogin,us-east-1,71.172.163.35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15",,[],,f4dc67ee-bac5-4bf1-906b-7e2651e67518,FALSE,AwsConsoleSignIn,8.78E+11,Management
user2120002=ef8bb99a-2e1d-11ed-a2c4-cbd2202b2ca2,,2022-11-19T16:28:14Z,signin.amazonaws.com,ConsoleLogin,us-east-1,52.34.31.93,Go-http-client/2.0,,[],,11848cac-1a30-4d69-b9d3-1fd2aec0522f,FALSE,AwsConsoleSignIn,8.78E+11,Management
